nd2_path,nd2_relpath,filename,stem,num_channels,channel_names,channel_source,stains,metadata_error
/Volumes/MannySSD/rw/6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section bottom right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section bottom right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section bottom right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 1 DIV 23 middle section bottom right,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4spE1P3 Lhx6 + Sox2 Slide 18 DIV 18 left section R2C2.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 18 DIV 18 left section R2C2.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 18 DIV 18 left section R2C2.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 18 DIV 18 left section R2C2,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.4spE1P3 Lhx6 + Sox2 Slide 2 DIV 18 middle section bottom right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 2 DIV 18 middle section bottom right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 2 DIV 18 middle section bottom right.nd2,6.4spE1P3 Lhx6 + Sox2 Slide 2 DIV 18 middle section bottom right,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.5 E1P3 Lhx6 + Sox2 Slide 13 DIV 23 left section R2C3.nd2,6.5 E1P3 Lhx6 + Sox2 Slide 13 DIV 23 left section R2C3.nd2,6.5 E1P3 Lhx6 + Sox2 Slide 13 DIV 23 left section R2C3.nd2,6.5 E1P3 Lhx6 + Sox2 Slide 13 DIV 23 left section R2C3,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.5 E1P3 Lhx6 + Sox2 Slide 15 DIV 23 left section R2C3.nd2,6.5 E1P3 Lhx6 + Sox2 Slide 15 DIV 23 left section R2C3.nd2,6.5 E1P3 Lhx6 + Sox2 Slide 15 DIV 23 left section R2C3.nd2,6.5 E1P3 Lhx6 + Sox2 Slide 15 DIV 23 left section R2C3,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'SOX2']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 12 DIV 23 R3C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 12 DIV 23 R3C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 12 DIV 23 R3C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 12 DIV 23 R3C2 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 2 DIV 23 R3C3 middle.nd2,6.5 E1P3 Nes + DCX Slide 2 DIV 23 R3C3 middle.nd2,6.5 E1P3 Nes + DCX Slide 2 DIV 23 R3C3 middle.nd2,6.5 E1P3 Nes + DCX Slide 2 DIV 23 R3C3 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C1 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C1 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C1 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C1 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R1C2 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 5 DIV 23 R2C1 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R2C1 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R2C1 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R2C1 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
